NOMBRE;APELLIDO;EMAIL;TRABAJO;LUGAR
Rodrigo;Contreras;Enrique_Leal53@hotmail.com;Inversor Marketing Funcionario;es_MX
Dolores;Caldera;Bernardo.Aguayo13@yahoo.com;Jefe Programa Analista;en_BORK
Ana María;Álvarez;Isabel96@yahoo.com;Producto Interacciones Ingeniero;en_GB
Caridad;Chávez;Alejandro_Loera@hotmail.com;Regional Funcionalidad Especialista;az
Amalia;Fernández;Lola.Becerra98@yahoo.com;Heredado Usabilidad Administrador;zh_TW
Gonzalo;Colón;Rodrigo.Cavazos24@gmail.com;Interno Optimización Desarrollador;ar
Rosa;Gastélum;Natalia.Montemayor70@yahoo.com;Regional Programa Ejecutivo;en_ZA
Martín;de Jesús;Mateo_Escobedo@yahoo.com;Distrito Infraestructura Coordinador;zh_CN
Ernesto;Ledesma;Sergio.Santacruz@hotmail.com;Directo Integración Diseñador;tr
José Luis;Rodríguez;Cecilia_Ballesteros@gmail.com;Adelante Marca Ejecutivo;ja
Miguel Ángel;Quintanilla;Ins.Atencio@hotmail.com;Inversor Métricas Planificador;pl
Alfonso;Ozuna;Luisa_Barrios75@yahoo.com;Heredado Usabilidad Ejecutivo;es_MX
Virginia;Montalvo;Emilia_Cadena17@yahoo.com;Heredado Comunicaciones Productor;en_GH
Florencia;Tapia;Caridad63@yahoo.com;Humano Tácticas Agente;hy
Carmen;Valenzuela;Federico_Rincn36@yahoo.com;Jefe Factores Administrador;en_US
Raúl;Jiménez;AnaMara.Ruz@gmail.com;Distrito Factores Planificador;hr
José Eduardo;Iglesias;Teodoro97@yahoo.com;Jefe Usabilidad Agente;zh_CN
Santiago;Alaníz;Timoteo.Prieto91@gmail.com;International Contabilidad Gerente;ge
Gonzalo;Bañuelos;Dolores78@hotmail.com;Regional Respuesta Planificador;it
Lucía;Llamas;Berta.Garibay15@yahoo.com;Directo Seguro Funcionario;fa
Andrés;Laboy;Jorge_Tern@yahoo.com;Corporativo Comunicaciones Asociado;he
Clara;Segura;Estela58@hotmail.com;Central Seguro Planificador;es
Ernesto;Tapia;Nicols.Casares20@yahoo.com;Adelante Comunicaciones Relacciones;fr_BE
Mariana;Pedroza;Marcos.Vela55@gmail.com;Producto Seguridada Administrador;en_IND
Roberto;Gálvez;Pilar44@yahoo.com;Humano Creativo Planificador;en_GB
Mercedes;Solís;Santiago_Alonso10@hotmail.com;Dinánmico Mobilidad Asociado;es_MX
Carlos;Herrera;Clemente_Mercado@yahoo.com;Interno Infraestructura Funcionario;sv
Gloria;Marrero;Ins_Delgadillo@hotmail.com;Gerente Investigación Facilitador;it
Alfonso;Robledo;Francisca_Rico54@gmail.com;Producto Funcionalidad Agente;sk
Rosa;Santacruz;MaraTeresa_Grijalva@hotmail.com;Corporativo Implementación Ejecutivo;fr_BE
Laura;Urías;Rebeca31@hotmail.com;Directo Aplicaciones Gerente;ar
Margarita;Salinas;Sancho.Ballesteros48@yahoo.com;Corporativo Paradigma Arquitecto;sv
Rubén;Lovato;Emilio.Saavedra@gmail.com;Regional Marca Supervisor;fr
Marilú;Zambrano;Ernesto81@hotmail.com;Heredado Configuración Ingeniero;de
Guillermina;Venegas;Guadalupe44@gmail.com;International Aplicaciones Asistente;en_NG
Cristóbal;Raya;Miguel47@gmail.com;Humano División Administrador;en_US
María Teresa;Arreola;Joaqun.Guzmn35@yahoo.com;Humano Infraestructura Ingeniero;ja
Berta;Segura;Raquel.Meja@gmail.com;International Seguro Productor;pt_BR
Hernán;Valladares;Toms.Lovato@hotmail.com;Futuro Soluciones Agente;es_MX
Magdalena;Ochoa;Caridad57@hotmail.com;Humano Comunicaciones Consultor;en_GH
